Name,Address,Status,Classes_This_Week
Club Pilates Waldorf,"3716 Crain Highway, Waldorf, MD, 20602",Open,60
Club Pilates Newburyport,"35 Storey Avenue, Unit #2, Newburyport, MA, 01950",Open,77
Club Pilates Kingstowne,"5810 Kingstowne Towne Center, Suite D110, Alexandria, VA, 22315",Open,61
Club Pilates Potomac Falls,"47100 Community Plaza, #130, Sterling, VA, 20164",Open,54
Club Pilates SOMD,"44940 St. Andrews Church Rd, Suite I, California, MD, 20619",Open,73
Club Pilates Oakton,"2946 Chain Bridge Rd, Unit N, Oakton, VA, 22124",coming soon,N/A
Club Pilates Reston,"2535 John Milton Dr, Herndon, VA, 20171",Open,90
Club Pilates Leesburg,"623 Potomac Station Drive, Leesburg, VA, 20176",Open,68
Club Pilates West Springfield,"8426 Old Keene Mill Road, West Springfield, VA, 22152",coming soon,N/A
Club Pilates Ashburn,"43670 Greenway Corporate Dr., Suite 124, Ashburn, VA, 20147",Open,66
Club Pilates Burke,"5765 Burke Center Pkwy., Ste. S, Burke, VA, 22015",Open,83
Club Pilates Fair Lakes,"4467 Market Commons Drive, Fairfax, VA, 22033",Open,70
Club Pilates Lorton,"8971 Ox Road, Suite 100, Lorton, VA, 22079",Open,67
Club Pilates Lake Ridge,"4130 Merchant Plaza, Woodbridge, VA, 22192",Open,71
Club Pilates Portsmouth,"2454 Lafayette Rd., Unit 11, Portsmouth, NH, 03801",Open,77
Club Pilates Virginia Gateway,"7364 Atlas Walk Way, Gainesville, VA, 20155",Open,39
Club Pilates Bristow,"10492 Bristow Center Drive, Bristow, VA, 20136",coming soon,N/A
Club Pilates Canaltown,"6687 Pittsford Palmyra Rd, Fairport, NY, 14450",Open,63
Club Pilates Stafford,"1425 Stafford Marketplace Drive, Stafford, VA, 22556",Open,68
Club Pilates Winchester,"2082 S Pleasant Valley Road, Winchester, VA, 22601",Closed,N/A
Club Pilates Brighton Rochester,"1890 Monroe Ave., Rochester, NY, 14618",Open,69
Club Pilates Fredericksburg,"1420 Central Park Blvd, Suite 103, Fredericksburg, VA, 22401",coming soon,N/A
Club Pilates Williston,"62 Merchants Row, Williston, VT, 05495",Open,70
Club Pilates West Bayside,"75 Chestnut St, Ste 101, Portland, ME, 04101",Open,59
Club Pilates Williamsburg,"4640 Casey Blvd, Suite 110, Williamsburg, VA, 23188",Open,57
Club Pilates Newport News,"12120 Jefferson Ave., Suite A, Newport News, VA, 23602",Open,77
Club Pilates Shady Grove,"5454 Wyndham Forest Drive, Glen Allen, VA, 23059",Open,56
Club Pilates Williamsville,"8060 Transit Rd, Williamsville, NY, 14221",coming soon,N/A
Club Pilates Ridge,"1537 N. Parham Road, Richmond, VA, 23229",Open,56
Club Pilates Hilltop,"1860 Laskin Rd., Suite 121, Virginia Beach, VA, 23454",Open,80
Club Pilates Norfolk,"W 25th St, Norfolk, VA, 23508",coming soon,N/A
Club Pilates Courthouse,"2476 Nimmo Parkway, Suite 108, Virginia Beach, VA, 23456",Open,74
Club Pilates Harbour View,"5836 Harbour View Blvd, Suite 350, Suffolk, VA, 23435",Open,80
Club Pilates Midlothian,"15613 WC Commons Way, Midlothian, VA, 23113",Open,53
Club Pilates Murrysville,"202 Blue Spruce Way, Murrysville, PA, 15668",Open,66
Club Pilates Woodlake,"7325 Hancock Village Drive, Chesterfield, VA, 23832",Open,52
Club Pilates Charlottesville,"2140 Barracks Road, Charlottesville, VA, 22903",Open,60
Club Pilates Great Bridge,"237 Hanbury Rd. East, Suite 12, Chesapeake, VA, 23322",Open,80
Club Pilates Hampton,"4655 William Flinn Hwy, #113, Allison Park, PA, 15101",Open,52
Club Pilates Shadyside,"5430 Centre Avenue, Pittsburgh, PA, 15232",Open,63
Club Pilates North Hills,"8013 McKnight Rd, 200B, Pittsburgh, PA, 15237",Open,55
Club Pilates Wexford,"101 Fowler Road, Suite C, Wexford, PA, 15090",Open,53
Club Pilates South Hills,"1500 Washington Rd., Suite 2601, Pittsburgh, PA, 15228",Open,75
Club Pilates McMurray,"3519 Washington Rd., McMurray, PA, 15317",Open,68
Club Pilates Moon,"860 Beaver Grade Road, Suite 200, Coraopolis, PA, 15108",Open,60
Club Pilates Brooklin,"5530 Baldwin St S, Unit B2, Whitby, ON, L1M 1T5",Open,67
Club Pilates Leslieville,"1015 - 1025 Lake Shore Blvd. East, Unit 12A, Toronto, ON, M4M 1B4",Open,72
Club Pilates College Park,"777 Bay St, Toronto, ON, M5B 2H7",coming soon,N/A
Club Pilates Wychwood,"1440 Bathurst Street, Unit 111, Toronto, ON, M5R 3S3",coming soon,N/A
Club Pilates Junction,"2720 Dundas Street West, Toronto, NU, M6P 1Y2",coming soon,N/A
Club Pilates North York,"82 Esther Shiner Boulevard, Suite 2B, North York, ON, M2K 0C6",Open,93
Club Pilates South Oakville,"3515 Rebecca St, Oakville, ON, L6L 0E3",coming soon,N/A
Club Pilates Glen Abbey,"300 North Service Road West, Unit B17A, Oakville, ON, L6M 2R9",Open,96
Club Pilates Erin Mills,"2575 Dundas Street West, Suite 2, Mississauga, ON, L5K 2M6",Open,77
Club Pilates North Burlington,"1801 Walkers Line, Unit 1-2, Burlington, ON, L7M 0H6",coming soon,N/A
Club Pilates Thornhill,"9301 Bathurst St, Richmond Hill, ON, L4C 9S2",Open,100
